id,name,matchType,status,venue,date,dateTimeGMT,teams,fantasyEnabled,bbbEnabled,hasSquad,matchStarted,matchEnded
04e8d307-7acd-4c3d-8117-b92ced6c583a,"Delhi Capitals vs Royal Challengers Bengaluru, 46th Match",t20,Match not started,"Arun Jaitley Stadium, Delhi",2025-04-27,2025-04-27T14:00:00,"['Delhi Capitals', 'Royal Challengers Bengaluru']",False,False,True,False,False
32450f41-24d3-463a-9d37-e6df114b43df,"Rajasthan Royals vs Gujarat Titans, 47th Match",t20,Match not started,"Sawai Mansingh Stadium, Jaipur",2025-04-28,2025-04-28T14:00:00,"['Rajasthan Royals', 'Gujarat Titans']",False,False,True,False,False
fa06c479-3015-4e58-b37c-9c6c076fab14,"Delhi Capitals vs Kolkata Knight Riders, 48th Match",t20,Match not started,"Arun Jaitley Stadium, Delhi",2025-04-29,2025-04-29T14:00:00,"['Delhi Capitals', 'Kolkata Knight Riders']",False,False,True,False,False
9b3be8ba-8302-4051-87a8-9022037b9a84,"Chennai Super Kings vs Punjab Kings, 49th Match",t20,Match not started,"MA Chidambaram Stadium, Chennai",2025-04-30,2025-04-30T14:00:00,"['Chennai Super Kings', 'Punjab Kings']",False,False,True,False,False
d0b375d6-eb90-48f9-b8a3-37647a418ea2,"Rajasthan Royals vs Mumbai Indians, 50th Match",t20,Match not started,"Sawai Mansingh Stadium, Jaipur",2025-05-01,2025-05-01T14:00:00,"['Rajasthan Royals', 'Mumbai Indians']",False,False,True,False,False
1a4b354c-8692-44d0-9b52-562da45bcce9,"Gujarat Titans vs Sunrisers Hyderabad, 51st Match",t20,Match not started,"Narendra Modi Stadium, Ahmedabad",2025-05-02,2025-05-02T14:00:00,"['Gujarat Titans', 'Sunrisers Hyderabad']",False,False,True,False,False
48e77e32-3016-4f17-9c99-a5663c5eb3e6,"Royal Challengers Bengaluru vs Chennai Super Kings, 52nd Match",t20,Match not started,"M.Chinnaswamy Stadium, Bengaluru",2025-05-03,2025-05-03T14:00:00,"['Royal Challengers Bengaluru', 'Chennai Super Kings']",False,False,True,False,False
aeb65c00-9359-4bc0-827a-9d0365364d1b,"Kolkata Knight Riders vs Rajasthan Royals, 53rd Match",t20,Match not started,"Eden Gardens, Kolkata",2025-05-04,2025-05-04T10:00:00,"['Kolkata Knight Riders', 'Rajasthan Royals']",False,False,True,False,False
df44cff0-d889-44a2-a63c-415c93b9d022,"Punjab Kings vs Lucknow Super Giants, 54th Match",t20,Match not started,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2025-05-04,2025-05-04T14:00:00,"['Punjab Kings', 'Lucknow Super Giants']",False,False,True,False,False
4e4b259f-19b6-4405-9df7-b94ce3b0a2c9,"Sunrisers Hyderabad vs Delhi Capitals, 55th Match",t20,Match not started,"Rajiv Gandhi International Stadium, Hyderabad",2025-05-05,2025-05-05T14:00:00,"['Sunrisers Hyderabad', 'Delhi Capitals']",False,False,True,False,False
a97077e7-466a-46e8-b6e7-2b74731b1d42,"Mumbai Indians vs Gujarat Titans, 56th Match",t20,Match not started,"Wankhede Stadium, Mumbai",2025-05-06,2025-05-06T14:00:00,"['Mumbai Indians', 'Gujarat Titans']",False,False,True,False,False
96324bfb-686e-44b6-a48e-5bd71188d1b2,"Kolkata Knight Riders vs Chennai Super Kings, 57th Match",t20,Match not started,"Eden Gardens, Kolkata",2025-05-07,2025-05-07T14:00:00,"['Kolkata Knight Riders', 'Chennai Super Kings']",False,False,True,False,False
c0de6e70-b66d-4d1e-9915-599bb417f8f4,"Punjab Kings vs Delhi Capitals, 58th Match",t20,Match not started,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2025-05-08,2025-05-08T14:00:00,"['Punjab Kings', 'Delhi Capitals']",False,False,True,False,False
fe6cfcc7-5018-4673-b864-020cba29b470,"Lucknow Super Giants vs Royal Challengers Bengaluru, 59th Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-05-09,2025-05-09T14:00:00,"['Lucknow Super Giants', 'Royal Challengers Bengaluru']",False,False,True,False,False
1c2f9a38-4c3a-407b-90c1-9b78dee63cb8,"Tbc vs Tbc, Qualifier 1",t20,Match not started,"Rajiv Gandhi International Stadium, Hyderabad",2025-05-20,2025-05-20T14:00:00,"['Tbc', 'Tbc']",False,False,False,False,False
40596379-a096-4513-8b6f-41df069ca70c,"Tbc vs Tbc, Eliminator",t20,Match not started,"Rajiv Gandhi International Stadium, Hyderabad",2025-05-21,2025-05-21T14:00:00,"['Tbc', 'Tbc']",False,False,False,False,False
08b32e61-9c96-4f37-8f76-0b3439a80567,"Tbc vs Tbc, Qualifier 2",t20,Match not started,"Eden Gardens, Kolkata",2025-05-23,2025-05-23T14:00:00,"['Tbc', 'Tbc']",False,False,False,False,False
b70371b1-6528-4af6-992c-e880ed585183,"Tbc vs Tbc, Final",t20,Match not started,"Eden Gardens, Kolkata",2025-05-25,2025-05-25T14:00:00,"['Tbc', 'Tbc']",False,False,False,False,False
d3edeb1d-61f4-417d-ba88-85b608c2ba7e,"Lucknow Super Giants vs Sunrisers Hyderabad, 70th Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-05-18,2025-05-18T14:00:00,"['Lucknow Super Giants', 'Sunrisers Hyderabad']",False,False,True,False,False
ab4e0813-1e78-467e-aca0-d80c5cfe7dbd,"Sunrisers Hyderabad vs Lucknow Super Giants, 7th Match",t20,Lucknow Super Giants won by 5 wkts,"Rajiv Gandhi International Stadium, Hyderabad",2025-03-27,2025-03-27T14:00:00,"['Sunrisers Hyderabad', 'Lucknow Super Giants']",True,True,True,True,True
7431523f-7ccb-4a4a-aed7-5c42fc08464c,"Chennai Super Kings vs Royal Challengers Bengaluru, 8th Match",t20,Royal Challengers Bengaluru won by 50 runs,"MA Chidambaram Stadium, Chennai",2025-03-28,2025-03-28T14:00:00,"['Chennai Super Kings', 'Royal Challengers Bengaluru']",True,True,True,True,True
aa75cb4c-36c7-4ade-a6b6-a6eaf61a33e8,"Sunrisers Hyderabad vs Kolkata Knight Riders, 60th Match",t20,Match not started,"Rajiv Gandhi International Stadium, Hyderabad",2025-05-10,2025-05-10T14:00:00,"['Sunrisers Hyderabad', 'Kolkata Knight Riders']",False,False,True,False,False
